name;count;url;status
ColorlibHQ/AdminLTE;1;https://github.com/ColorlibHQ/AdminLTE;discarded
serverless/serverless;6;https://github.com/serverless/serverless;discarded
huggingface/transformers;7;https://github.com/huggingface/transformers;discarded
serverless/serverless;6;https://github.com/serverless/serverless;discarded
nylas/nylas-mail;1;https://github.com/nylas/nylas-mail;discarded
home-assistant/core;2;https://github.com/home-assistant/core;discarded
DIYgod/RSSHub;1;https://github.com/DIYgod/RSSHub;accepted
sequelize/sequelize;1;https://github.com/sequelize/sequelize;discarded
goldbergyoni/nodebestpractices;5;https://github.com/goldbergyoni/nodebestpractices;needed-compilation
quantopian/zipline;2;https://github.com/quantopian/zipline;failed
nicolargo/glances;4;https://github.com/nicolargo/glances;accepted
kevana/ui-for-docker;3;https://github.com/kevana/ui-for-docker;discarded
remy/nodemon;1;https://github.com/remy/nodemon;discarded
mozilla/pdf.js;1;https://github.com/mozilla/pdf.js;discarded
atom/atom;1;https://github.com/atom/atom;failed
deepfakes/faceswap;2;https://github.com/deepfakes/faceswap;discarded
localstack/localstack;4;https://github.com/localstack/localstack;too-complex
freeCodeCamp/freeCodeCamp;2;https://github.com/freeCodeCamp/freeCodeCamp;too-complex
apachecn/AiLearning;1;https://github.com/apachecn/AiLearning;discarded
0xAX/linux-insides;1;https://github.com/0xAX/linux-insides;discarded
testerSunshine/12306;1;https://github.com/testerSunshine/12306;discarded
apache/superset;5;https://github.com/apache/superset;too-complex
RocketChat/Rocket.Chat;4;https://github.com/RocketChat/Rocket.Chat;discarded
facebook/react-native;1;https://github.com/facebook/react-native;discarded
tiangolo/fastapi;3;https://github.com/tiangolo/fastapi;discarded
pandas-dev/pandas;1;https://github.com/pandas-dev/pandas;too-complex
socketio/socket.io;8;https://github.com/socketio/socket.io;discarded
ansible/ansible;2;https://github.com/ansible/ansible;discarded
donnemartin/data-science-ipython-notebooks;1;https://github.com/donnemartin/data-science-ipython-notebooks;discarded
codemirror/CodeMirror;1;https://github.com/codemirror/CodeMirror;discarded
pypa/pipenv;1;https://github.com/pypa/pipenv;accepted
openai/gym;1;https://github.com/openai/gym;too-complex
Unitech/pm2;8;https://github.com/Unitech/pm2;discarded
chubin/cheat.sh;1;https://github.com/chubin/cheat.sh;failed
gatsbyjs/gatsby;5;https://github.com/gatsbyjs/gatsby;discarded
ageitgey/face_recognition;2;https://github.com/ageitgey/face_recognition;accepted
vercel/next.js;2;https://github.com/vercel/next.js;discarded
mitmproxy/mitmproxy;2;https://github.com/mitmproxy/mitmproxy;discarded
psf/black;3;https://github.com/psf/black;failed
portainer/portainer;4;https://github.com/portainer/portainer;discarded
nginx-proxy/nginx-proxy;4;https://github.com/nginx-proxy/nginx-proxy;discarded
bokeh/bokeh;5;https://github.com/bokeh/bokeh;too-complex
parse-community/parse-server;1;https://github.com/parse-community/parse-server;accepted
transloadit/uppy;2;https://github.com/transloadit/uppy;discarded
tornadoweb/tornado;1;https://github.com/tornadoweb/tornado;discarded
jhipster/generator-jhipster;5;https://github.com/jhipster/generator-jhipster;discarded
SirVer/ultisnips;2;https://github.com/SirVer/ultisnips;too-complex
nodejs/node;1;https://github.com/nodejs/node;discarded
yarnpkg/yarn;1;https://github.com/yarnpkg/yarn;discarded
BobAnkh/auto-generate-changelog;1;https://github.com/BobAnkh/auto-generate-changelog;accepted
barrucadu/bookdb;1;https://github.com/barrucadu/bookdb;accepted
cookiecutter-flask/cookiecutter-flask;1;https://github.com/cookiecutter-flask/cookiecutter-flask;accepted
barrucadu/bookdb;1;https://github.com/barrucadu/bookdb;accepted
backtick-se/cowait;1;https://github.com/backtick-se/cowait;accepted
adriankumpf/findmeaflat;1;https://github.com/adriankumpf/findmeaflat;accepted
juice-shop/juice-shop-ctf;1;https://github.com/juice-shop/juice-shop-ctf;accepted
bkimminich/juice-shop;1;https://github.com/bkimminich/juice-shop;accepted
codeforkansascity/meep;1;https://github.com/codeforkansascity/meep;accepted
CorralPeltzer/newTrackon;1;https://github.com/CorralPeltzer/newTrackon;accepted
sherlock-project/sherlock;1;https://github.com/sherlock-project/sherlock;accepted
kiwigrid/k8s-sidecar;1;https://github.com/kiwigrid/k8s-sidecar;accepted
mrooding/gitlab-semantic-versioning;1;https://github.com/mrooding/gitlab-semantic-versioning;accepted
asbjornenge/linuxkit-logger;1;https://github.com/asbjornenge/linuxkit-logger;accepted
rafipiccolo/dockercron;1;https://github.com/rafipiccolo/dockercron;accepted
MarcCoru/sampleo;1;https://github.com/MarcCoru/sampleo;accepted
docker/compose;15;https://github.com/docker/compose;too-complex
